POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
1177,29.946751863588123,30.008182417504567,451.4421528179018,16621.880868250122,,1.0769645350013664e-10,0.07657250795992479,386.8372487939,15971.345860429929,
1178,29.94675186342197,30.009654136626963,553.8835131601941,18145.494834743906,,1.0915438191148445e-10,0.08999058594336823,252.35781030747944,14742.40262194306,
1179,29.946751863477964,30.0590796484204,556.1778055054743,18715.928767120957,,8.676896906806734e-11,0.16665279404710853,271.68635461589326,13402.161869467753,
1180,29.946751863482376,30.04975717701634,544.8755045762929,19185.681801151786,,1.901253363765914e-10,0.14994344876572724,314.30814852233436,12309.652972783742,
1181,29.946751863492242,29.99480843322458,470.1431593325838,14358.695587305074,,1.2081932230265516e-10,0.049310231670385604,276.94323381215935,15852.887285020515,
1182,29.946751863466293,30.069231234723574,500.04682707807075,16055.22203747674,,1.206131068856559e-10,0.15389090248467316,281.9446866494759,12953.243068922058,
1183,29.9467518635912,30.061202436886415,421.9171592025968,14430.471643897768,,1.0823677994277572e-10,0.16591591881958132,358.5966246769202,14087.703351892133,
1184,29.946751863438024,30.065710762812483,533.7400818453096,16319.589549254164,,1.0050888238945522e-10,0.17928304765272737,215.06629113252907,11948.966632365491,
1185,29.94675186352015,30.11457877398619,510.2223862825732,16832.873061247712,,1.2441260815178518e-10,0.1612753430468421,290.4860252657513,12595.270951273766,
1186,29.946751863451578,30.08199197089203,519.247806669426,18244.057857361302,,1.6809473862952877e-10,0.16381994304554293,332.710715250186,13123.543863970257,
1187,29.946751863481538,30.144050120398315,467.1509087929853,14463.51709797125,,9.636033308477122e-11,0.2111088065800038,281.90829287532677,16337.637688584056,
1188,29.946751863443684,30.156851055169806,582.2290627225576,21393.34694534384,,1.1561922717613994e-10,0.16549104350642452,313.54352672060753,15817.44358075989,
1189,29.946751863547664,30.17522449103389,432.3599843433198,14422.417900033484,,1.2243024001153865e-10,0.21010658838454652,339.9745557348727,13748.639562395228,
1190,29.94675186342115,30.16858523801469,523.0176049367833,16730.22503119272,,8.848769746059056e-11,0.1903385451050795,258.31020196136416,15021.951275113997,
1191,29.94675186349316,30.2013561724878,577.9487312674559,20378.990277769735,,1.2679499189181193e-10,0.1581887586478733,289.15007308465476,14934.54877647296,
1192,29.946751863423412,30.22639782096139,447.7585504027199,13981.213197697025,,1.2870040388430228e-10,0.19324249479149097,299.9994121482656,12107.088701561632,
1193,29.94675186349783,30.235971316139672,445.22890023823214,13126.696219423042,,1.0264255859193386e-10,0.18113920393268865,265.1370883014747,15026.866863155257,
1194,29.946751863452356,30.21022593709024,585.230435853081,22086.203304109404,,1.331083196637281e-10,0.16483605362871598,331.39082076544594,16324.686008007782,
1195,29.946751863536868,30.2824288497424,378.4473423941104,10957.749912172578,,1.1444131007809429e-10,0.15613111573549773,291.54138274050905,11571.342251952843,
1196,29.946751863420783,30.249523061826096,472.52663844405674,13425.691837063012,,8.531402501671001e-11,0.1914234600397731,220.3861988527045,11307.186995304597,
1197,29.946751863485307,30.243363835968783,592.0868485987977,22239.50515548421,,1.3952382509684776e-10,0.15749370081179642,327.47615274846385,15773.593687332537,
1198,29.946751863423323,30.31766351570039,378.7393431535444,9947.565701307276,,9.284649031028851e-11,0.15538640070776094,247.47810919482222,9661.486417386815,
1199,29.946751863499756,30.217269639229997,499.4920117453721,16334.613863385579,,1.223193963981679e-10,0.1811337506576793,289.45461361960844,15650.713355582258,
1200,29.94675186346991,30.209528001433675,543.2379351771256,19486.470472585577,,1.2930105623322737e-10,0.1657105842353213,323.58517562627384,13958.85423847283,
1201,29.94675186351286,30.294130463721487,374.69250029497454,10021.705417144987,,8.945648232889605e-11,0.14269286741559442,259.05786989183696,10434.33437045823,
1202,29.946751863427778,30.193946929847336,521.7840118611367,17052.386007746503,,1.0167528031876356e-10,0.18694046339701909,275.6625879351605,15311.003755026313,
1203,29.94675186348941,30.199075072593573,606.6156660257585,23982.45364526201,,1.417390105838558e-10,0.15861426208384602,356.62580234551154,15719.227097836092,
1204,29.94675186343218,30.272917292722354,426.86869601936405,12270.86191624085,,5.474669903020488e-11,0.18359955549027576,265.81479440086326,13282.447899896391,
1290,29.946751863368107,30.14573429545834,526.9983765394211,18109.388546825103,,1.4725314781437989e-10,0.18517644104680392,307.52441369939964,14729.046899242885,
1291,29.946751863593732,30.180361995746125,736.0224210545426,27428.763840442178,,1.7815248063148042e-10,0.21648986150318103,86.72373499482732,6775.228518577033,
1292,29.946751863430233,30.275947325258997,463.72731979239256,13117.545561366467,,1.3564695092825826e-10,0.15082981972364834,237.25795440172521,11507.580937111865,
1293,29.946751863586655,30.22718120605729,470.90609955252637,14336.61271944642,,1.7423704996598574e-10,0.1987729892124273,267.876672587725,14146.33210015556,
1294,29.94675186345984,30.221933978336633,714.576234607194,28668.503062730197,,1.49901684011437e-10,0.2178883083446298,266.9455783636429,14356.501928525844,
1295,29.946751863486643,30.275123492326106,488.87041359447284,14176.913832480548,,1.1943519000129798e-10,0.1619986990720426,230.16198409414645,10557.403870916552,
1296,29.946751863447037,30.219610615852638,467.0809397376989,14560.431174160167,,1.8031496939296574e-10,0.1885892637735303,282.6856722702156,15048.838217685294,
1297,29.946751863551356,30.196777039296975,597.9389837697973,22196.402023710638,,2.1150473183198854e-10,0.1865483817854779,313.5052533100973,15723.476539933647,
